series,episode,baker,result,signature,signature_ingredients,showstopper,showstopper_ingredients
9,4,Dan,STAR BAKER,Florida Roulade,"coconut cream, flaked coconut, mango, strawberry, lime curd, meringue",Dan and the Giant Peach,"joconde, toasted hazelnut, honey and vanilla poached peaches, hazelnut biscuits, dark chocolate, caramel sauce"
9,4,Antony,NA,NA,NA,NA,NA
9,4,Imelda,NA,NA,NA,NA,NA
9,4,Luke,NA,NA,NA,NA,NA
9,5,Briony,IN,Honey and Apricot Ginger Cake,"ginger, dried apricot, dark chocolate ganache, honeycomb, honey buttercream",Turmeric Latte Chandelier,"turmeric, coriander, cloves, lemon juice"
9,5,Dan,IN,Ginger and Lemon Drip Cake,"white chocolate, ginger, lemon curd, lemon swiss meringue buttercream",Birthday Kaleidoscope for Constance,"cinnamon , apple royal icing"
9,5,Jon,IN,Family Christmas Ginger Cake,"stem ginger, gingerbread, lemon glitter balls, italian meringue buttercream",Birthday Chandelier for Emily's 21st,"cinnamon marshmallow, cinnamon, raspberry chilli jam, sugar glass"
9,5,Manon,IN,Italian Meringue Ginger Cake,"lemon italian meringue, candied lemon, ginger, lemon curd",Art Deco Spiced Biscuit Chandelier,"chocolate, tonka bean, timut pepper, cinnamon ganache"
9,5,Rahul,IN,Bonfire Night Caramel Ginger Cake,"ginger honeycomb, cindar toffee, swiss meringue buttercream, ginger, stem ginger",Durga Puja Cardamom Chandelier,"cardamom, orange, mixed fruit sweets, vanilla"
9,5,Ruby,IN,Jamaican Me Crazy Ginger Cake,"ginger snaps, toffee drizzle, orange mascarpone cream, ginger, rum",Peacock Chandelier,"pistachio, cardamom, clove, cinnamon, raspberry, white chocolate ganache"
9,5,Karen,OUT,Bonfire Night Ginger Cake,"crystallised ginger, cinder toffee, honeycomb, brandy, cream cheese frosting",Pontefract Girls' School Reunion,"liquorice, cardamom, sugar glass"
9,5,Terry,OUT,Caramelised Pear and Stem Ginger Cake,"Caramelised pears, stem ginger, vanilla cream, cream cheese frosting",12 Days of Christmas Chandelier,"pepper, cloves, all spice, vanilla, lemon royal icing"
9,5,Kim-Joy,STAR BAKER,Stem Ginger Cake with Poached Pears,"crystallised ginger, gingerbread, cream cheese frosting, salted caramel drizzle, poached pears",Christmas Spiced Ice Chandelier,"nutmeg, cinnamon, cardamom, cloves, isomalt glass"
9,5,Antony,NA,NA,NA,NA,NA
9,5,Imelda,NA,NA,NA,NA,NA
9,5,Luke,NA,NA,NA,NA,NA
9,6,Jon,IN,"A Romantic Dinner For Two, Samosa Style","chicken, pesto, orange zest, vanilla crème patissiere",Welsh Dragon Pie,"spiced minced beef, leeks, carrots"
9,6,Kim-Joy,IN,Flavours of India,"kashmiri chilli, onion, paneer, crystallised ginger, chai spices, granny smith apples",Silke the Vegetarian Mermaid,"beetroot, butternut squash, feta cheese, caramelised onion"
9,6,Manon,IN,Samosas for Mum,"confit lemon, chicken, green olives, salted caramel, cox's apples","""What Has Poppy Eaten?""","salmon paste, whiting, scallops "
9,6,Rahul,IN,Paneer Singara and Misti Singara,"ground coriander, potato, paneer, ricotta cheese, desiccated coconut, cashew nuts",Butterfly Pie,"rice, lamb curry"
9,6,Ruby,IN,Traditional Samosas,"onion, peas, spiced potatoes, orange infused date, almond paste, chopped almonds, cumin seeds",Kohinoor Crown,"rice, nigella seeds, chicken curry"
9,6,Dan,OUT,Festive Samosas,"chopped walnut, pear, stilton, caramelised hazelnut, chopped banana",Salmon Coulibiac,"rice, boiled egg, lightly smoked salmon"
9,6,Briony,STAR BAKER,Home Comforts,"beetroot, port soaked cranberries, spinach, mascarpone cheese, peanut butter, golden syrup","""Down the Rabbit Hole"" Banquet Pie","sweet potato, venison, mushroom"
9,6,Antony,NA,NA,NA,NA,NA
9,6,Imelda,NA,NA,NA,NA,NA
9,6,Karen,NA,NA,NA,NA,NA
9,6,Luke,NA,NA,NA,NA,NA
9,6,Terry,NA,NA,NA,NA,NA
9,7,Briony,IN,French Onion Tartlets and Celeriac & Apple Tartlets,"onion, ground almonds, vegan goat's cheese, oat cream, apple syrup, celeriac puree,sweet potato, mixed spice, prosecco",Hazelnut Mocha Cake,"dried raspberries, coffee liqueur ganache, roasted hazelnuts, mocha, chocolate"
9,7,Manon,IN,Summer & Winter Tartlets,"eggplant, zucchini, rosemary, chestnut, mushroom, cashew milk bechamel, tomato",Spiced Apple Cake,"matcha, turmeric, beetroot powder, cinnamon apples, vegan chocolate"
9,7,Rahul,IN,Coriander Posto & Veg Tartlets and Ghugni Chaat Tartlets,"eggplant, zucchini, carrot, vegan yogurt, chickpea curry, cashew nut paste",Chocolate & Coconut Layer Cake with Raspberry Jam,"coconut, chocolate, vegan coconut buttercream, coconut syrup, raspberry jam, sugar shards"
9,7,Ruby,IN,Sage & Butternut Tartlets and 'Cheesy Greens' Tartlets,"butternut squash, garlic salt, cashew milk and arrowroot cheese, nutritional yeast","Chocolate, Lemon & Coconut Cake","chocolate, lemon, vanilla syrup,raspberries, coconut"
9,7,Jon,OUT,Garlic Mushroom Tartlets and Falafel & Hummus Tartlets,"sauteed mushrooms, baked mushrooms, sweet potato mash, garlic, vegan cream cheese, falafel, hummus",Only Fools Eat Horses Cake,"agar agar fondant, vegan chocolate cake, orange curd icing, meringue, orange zest, buttercream"
9,7,Kim-Joy,STAR BAKER,Broccoli & Tomato Quiches and Mascarpone Squirrel Tartlets,"tofu, indian black salt, nutritional yeast, balsamic beetroot, broccoli, tomato, onion",Lavender & Lemon Fox Cake,"vanilla cookies, aguafaba royal icing, butter cream, dried lavender, lemon curd"
9,7,Antony,NA,NA,NA,NA,NA
9,7,Dan,NA,NA,NA,NA,NA
9,7,Imelda,NA,NA,NA,NA,NA
9,7,Karen,NA,NA,NA,NA,NA
9,7,Luke,NA,NA,NA,NA,NA
9,7,Terry,NA,NA,NA,NA,NA
9,8,Briony,IN,Spanish & West Country Sm√∏rrebr√∏d,"chorizo, iberico ham, flaked mackerel, tomato, asparagus, sweet potato, fig jam, beetroot",Nana Pat Kagekone,"toffee, dried blueberries, marshmallow, ginger crème patissiere"
9,8,Kim-Joy,IN,Bumblebee Eggs & Fish Sm√∏rrebr√∏d,"cucumber, radish, smoked slamon, boiled eggs, havarti cheese, tomato",Off to the Opera Kagekone,"royal icing, crème patissiere, white chocolate"
9,8,Rahul,IN,Smoked Salmon & Roasted Vegetable Sm√∏rrebr√∏d,"smoked salmon, carrot, celeriac, shallots, curry powder, lemon, dill, cream cheese, beetroot, asparagus, pickled cucumber, sunflower seeds",Indian King Kagemand,"orange zest, salted caramel, crème patissiere, fruit jelly, chocolate, marzipan, buttercream"
9,8,Manon,OUT,Cheese and Fruit Sm√∏rrebr√∏d,"mascarpone cream, gorgonzola cheese, strawberry, goats cheese, pear, radish, greens",Birthday Girl Kagekone,"bon bon, caramel, nougatine, marshmallow, pain au chocolat"
9,8,Ruby,STAR BAKER,Post-Gym Sm√∏rrebr√∏d,"egg, avocado, asparagus, chorizo, tandoori chicken, cumin seeds",Sister Kagekone,"frangipane, apricot, honeycomb, chocolate truffle, marzipan, crystallised ginger"
9,8,Antony,NA,NA,NA,NA,NA
9,8,Dan,NA,NA,NA,NA,NA
9,8,Imelda,NA,NA,NA,NA,NA
9,8,Jon,NA,NA,NA,NA,NA
9,8,Karen,NA,NA,NA,NA,NA
9,8,Luke,NA,NA,NA,NA,NA
9,8,Terry,NA,NA,NA,NA,NA
9,9,Kim-Joy,IN,"Ginger and Lemon Madeleines
Orange Bunny Madeleines","orange, lemon, ginger, chopped pistachios, white chocolate",Flavourite Flavours Window Display,"mango, passion fruit, strawberry, orange crème diplomat, blue berry, french meringue, icing, sugar spirals"
9,9,Rahul,IN,"Lemon and Raspberry Madeleines
Orange Curd Madeleines","chopped hazelnuts, white chocolate, dark chocolate, freeze dried raspberries, orange curd, lemon",Classic Tribute to Patisserie Window,"lemon curd, blueberry, caramel glaze, chocolate, strawberry, raspberry, crème diplomat"
9,9,Briony,OUT,"Mojito Madeleines
Espresso Martini Madeleines","mint tea, lime zest, spiced rum, white chocolate, dark chocolate, coffee bean, espresso",British Tea to French Patisserie Window,"coffee crème patissiere, walnut, cherry mousse, cherry jelly, blueberries, raspberries, chocolate, lemon"
9,9,Ruby,STAR BAKER,Pick Your Own Madeleines,"raspberry, white chocolate, desiccated coconut, orange, stem ginger, dark chocolate",Parisian Un Bouquet de Fleurs Window Display,"strawberry, mint, chocolate, hazelnut, crème chantilly, lemon verbena, swiss meringue, orange shortbread"
9,9,Antony,NA,NA,NA,NA,NA
9,9,Dan,NA,NA,NA,NA,NA
9,9,Imelda,NA,NA,NA,NA,NA
9,9,Jon,NA,NA,NA,NA,NA
9,9,Karen,NA,NA,NA,NA,NA
9,9,Luke,NA,NA,NA,NA,NA
9,9,Manon,NA,NA,NA,NA,NA
9,9,Terry,NA,NA,NA,NA,NA
9,10,Kim-Joy,Runner-up,Amaretto Diplomat Filled Doughnuts & Lemon Ring Doughnuts,"lemon, lemon glaze, amaretto crème diplomat, orange glaze",Lost City of Atlantis Dessert Landscape,"ginger cake, ginger biscuit, orange buttercream, salted caramel, isomalt coral, nutmeg, cloves, crushed praline, fondant, crystallised ginger"
9,10,Ruby,Runner-up,Dulce De Leche Filled Doughnuts & Raspberry and Cardamom Ring Doughnuts,"dulce de leche, cinnamon, cardamom, freeze dried raspberry, white chocolate",Magical Edible Landscape,"passion fruit curd, praline, blueberry compote, salted pistachio brittle, choux, cardamom, lemon crème patissiere"
9,10,Rahul,WINNER,Mango Creme Patisserie Filled Doughnuts & Spiced Orange Ring Doughnuts,"mango crème patissiere, orange, cinnamon, ginger, orange buttercream, royal icing",Edible Rock Garden,"orange buttercream, cardamom crème diplomat, chocolate, orange, lemon joconde, orange curd, ginger biscuit"
9,10,Antony,NA,NA,NA,NA,NA
9,10,Briony,NA,NA,NA,NA,NA
9,10,Dan,NA,NA,NA,NA,NA
9,10,Imelda,NA,NA,NA,NA,NA
9,10,Jon,NA,NA,NA,NA,NA
9,10,Karen,NA,NA,NA,NA,NA
9,10,Luke,NA,NA,NA,NA,NA
9,10,Manon,NA,NA,NA,NA,NA
9,10,Terry,NA,NA,NA,NA,NA
10,1,Alice,IN,Gingerbread Fruit Cake Wreath,"gingerbread, fig, blackberry",Like a Child in a Sweetshop Cake,"lemon, raspberries, lemon swiss meringue buttercream"
10,1,Amelia,IN,Christmas Cake,"mixed fruit, orange brandy, marzipan, glace cherries, royal icing, crystallised ginger",Carousel Birthday Cake,"rice krispies, white chocolate ganache, red velvet, raspberry jam"
10,1,David,IN,Squishy Squashy Fruit Cake,"orange zest, carrot, squash, almond florentines, hazelnut marzipan, marzipan, dried prunes, dried figs",Snakey Birthday Cakey,"rice krispies, chocolate, orange zest, fondant"
10,1,Helena,IN,Fruit Bat Cake,"spiced pumpkin, maple cream cheese buttercream, dried prunes, toasted pecan",Away with the Fairies Cake,"chocolate, chocolate buttercream, fondant, desiccated coconut, coffee"
10,1,Henry,IN,Wood Street Cake,"chocolate, royal icing, dried fruit",Secret Woodland Cake,"chocolate, chocolate ganache, woodland berries, blackberry"
10,1,Jamie,IN,Easter Simnel Cake,"marzipan, strawberry jam",Salted Caramel Schnauzer Birthday Cake,"salted carmael buttercream, vanilla biscuits, salted caramel sauce"
10,1,Michael,IN,Cup of Chai Cake,"chai, sultanas, apricots",Treasure Chest Cake,"cinder toffee, chocolate, salted caramel buttercream"
10,1,Phil,IN,Spiced Fruit Cake with Rum Glaze,"marzipan, cinnamon , ginger, nutmeg, allspice, cloves, sugar frosted fruits, run icing",Retro Rocket Cake,"rice krispies, sherbert, raspberry ripple buttercream"
10,1,Priya,IN,Sunshine Fruit Cake,"dried papaya, dried pineapple, dried mango, marzipan",Once Upon a Time Cake,"chocolate, orange zest, chocolate orange buttercream, meringue"
10,1,Rosie,IN,Spicy Chai Loaf,"dried apple, dried strawberry, dried mango, strawberry and mango jam, indian chai, french buttercream",Magical Jungle Cake,"chocolate, red velvet, fondant, vanilla italian meringue buttercream"
10,1,Steph,IN,Great Grandma's Fruit Cake,"orange zest, candied oranges, apricot, marzipan",A Sundae on the Beach Cake,"dark chocolate ganache, vanilla and raspberry buttercream, coconut"
10,1,Dan,OUT,Jamaican Rum Cake,"dried fruit, spiced rum buttercream, coffee and almond brittle",Pirate Island Cake,"lime zest, coconut, passionfruit curd, isomalt "
10,1,Michelle,STAR BAKER,Bara Brith Teulu Ni (Our Family's Bara Brith),"tea, pecan, welsh rum icing, mixed fruit",Tylwyth Teg (Fairy House Cake),"carrot, orange, cinnamon, fondant"
10,2,Amelia,IN,"Pistachio, Almond & Raisin Nougat Biscuit Bars","rosehip syrup, pistachio, almond, raisin",Swimming with Dolphins,"lemon zest, orange extract, viennese whirl, "
10,2,David,IN,Coco-nutty Chocolate Bars,"dark chocolate, chocolate, nougat, pistachio, coconut",Wedding Spray,"almond tuile, fennel, lime, grapefruit, caraway, cardamom, lemon"
10,2,Helena,IN,Wicked Witch Fingers,"matcha, almond, salted caramel",Caught in a Spider's Web,"chocolate, orange zest, lemon zest, earl grey, spiced macadamia nuts"
10,2,Henry,IN,"Coffee, Cardamom & Hazelnut Bars","hazelnut, chocolate and cardamom mousse, dark chocolate",Chapel Organ,"boiled sweets, almond tuile, ginger"
10,2,Michael,IN,Lemon & Rosemary Biscuit Bars,"dark chocolate, lemon curd, lemon marshmallow, rosemary, gin",Hamish the Highland Cow,"ginger, chocolate, orange, tuile, viennese whirl, chilli"
10,2,Michelle,IN,Bakewell Bars,"raspberry jam, white chocolate, almond marshmallow",Dewi y Ddraig Cymraeg - Dewi the Welsh Dragon,"lemon zest, cardamom, pistachio, brandy snap, macarons"
10,2,Phil,IN,"Orange, Cranberry & White Chocolate Fudge Bars","orange zest, white chocolate, dried cranberries, milk chocolate",Tina the Tortoise,"cherry, citrus peel, almonds, brandy snap"
10,2,Priya,IN,Ruby Barfi Biscuit Bars,"cardamom, ruby chocolate, passionfruit jelly, raspberry and coconut barfi",The Beast of Rocky Mountain,"langues de chat, orange, cinnamon, brandy snap"
10,2,Rosie,IN,Virgin Mojito Biscuit Bars,"lime jelly, mint marshmallow, choocolate",My Favourite Chicken ‚Äì A Celebration of Legs,"Tuile, ginger,lemon zest"
10,2,Steph,IN,"Chocolate, Caramel Macchiato Biscuit Bars","coffee, coffee beans, caramel, dark chocolate",Ginger the Cat,"cinnamon, nutmeg, clove, brandy snap, ginger"
10,2,Jamie,OUT,Cherry Caramel Shortbread Biscuit Bars,"sour cherry caramel, dark chocolate",Biscuit Guitar,"chocolate, ginger, lemon royal icing, lemon"
10,2,Alice,STAR BAKER,Honeycomb Peanut Mallow Bars,"marshmallow, salted peanut caramel, honeycomb",Chocolate and Coconut New Zealand Lamb,"chocolate, coconut, lime, macaron"
10,2,Dan,NA,NA,NA,NA,NA
10,3,Alice,IN,Baklava Tear & Share,"candied orange, chopped pistachios, dried rose petals, honey, orange blossom, spices",Global Bread,"beetroot, walnut, linseeds, poppy seeds, carrot, coriander, garlic, rosemary, mixed seeds"
10,3,David,IN,Cinnamon Swirl Tear & Share,"cinnamon,sugar glaze, brandy soaked fruit, vanilla buttercream",Trio of African Masks,"charcoal powder, annatto powder, beetroot powder, blue pea flower powder"
10,3,Helena,IN,Frosted Cinnamon and Pecan Tear & Share,"toasted pecans, cream cheese",Every Bread is Halloween,"parmesan, sesame seeds, charcoal powder, spirulina"
10,3,Henry,IN,Chicken and Pesto Tear & Share,"chicken, pesto, poppy seeds, sesame seeds, black olives",Herb Garden,"rosemary, black olive, walnut, parsley, raisin, caraway, thyme, sage, poppy seed flowers"
10,3,Michelle,IN,Noson Gaws (Cheese Night) Tear & Share,"pancetta, pear, black garlic, walnut, truffle, fruit compote, angiddy cheese, golden cenarth cheese",Gardd Ni (Our Garden),"raspberry, passionfruit powder, raisins, hazelnut paste"
10,3,Phil,IN,Pancetta and Cheese Focaccia Tear & Share,"garlic, parsley, rosemary, gruyere cheese, grana padano cheese, smoked pancetta, chives",Winner's Wreath,"spelt, beetroot, parsley, sage, thyme, smoked applewood cheese"
10,3,Priya,IN,Smokey Jalape√±o Tear & Share,"onion, jalapeno, cheddar, red leicester, smoked paprika, chillies",Bird Boules,"italian seasoning, beetroot powder, blue pea flower powder"
10,3,Rosie,IN,Chilli and Manchego Tear & Share,"candied chilli, manchego, red onions, garlic, balsamic",Bread Safari,"sun-dried tomato, garlic, turmeric, coriander, beetroot, chilli "
10,3,Steph,IN,Sun-Dried Tomato and Pesto Star Tear & Share,"parmesan cheese, sun-dried tomatoes, basil sauce, lemon zest",Hand-Tied Bouquet of Flowers,"beetroot, rosemary, turmeric, wholemeal, sesame seeds"
10,3,Amelia,OUT,Chorizo Brunch Tear & Share,"chorizo, peppers, caramlised onions, garlic, harissa",Caterpillar Transformation,"roasted red pepper, matcha powder, beetroot powder, garlic"
10,3,Michael,STAR BAKER,Keralan Star Bread Tear & Share,"coconut chutney, paprika",Mediterranean Camp Fire,"black onion seeds, charcoal powder, smoked garlic, parmesan, red pepper, olive"
10,3,Dan,NA,NA,NA,NA,NA
10,3,Jamie,NA,NA,NA,NA,NA
10,4,Alice,IN,Leafy Yoghurt Cake,"yogurt, cardamom, lemon, pistachio",Afternoon Tea,"carrot, coffee, chocolate cheesecake"
10,4,David,IN,A Kick of Limoncello Cake,"lemon, poppy seed, limoncello glaze, yogurt",Flavours of India Mishti,"kewra water, cardamom, mango, carrot, fennel tuile"
10,4,Helena,IN,Ghost Cake,"buttercream, almond, buttermilk, orange zest",Ye Olde English Sweet Shoppe Mishti,"chocolate, coconut, parma violet, lemon sherbet"
10,4,Henry,IN,Ode to a German Breakfast Cake,"spiced apple, apple crisps, yogurt, cinnamon, streusel",Seaside Mishti,"pistachio and raspberry icecream, orange, coconut"
10,4,Michael,IN,Cheesecake Surprise,"sour cream, raspberry cheesecake swirl, lemon, raspberry",Flag of India Mishti,"pistachio, mango, lemon, rosewater"
10,4,Michelle,IN,Homely Rhubarb Cake,"rhubarb, pecan, meringue kisses, freeze-dried raspberries, apple crisps, buttermilk, custard buttercream",Home Comforts Mishti,"passion fruit, chocolate, tonka bean rice pudding, raspberry"
10,4,Priya,IN,Choc-chip Banana Cake,"banana, chocolate, yogurt, toffee sauce, chocolate chips, dried bananas",Flavours of My Childhood Mishti,"saffron, cardamom, mango, rosewater, lychee"
10,4,Rosie,IN,A Good Dose of Limoncello Cake,"lemon zest, limoncello, buttermilk, meringue kisses",Cocktails & Canap√©s Mishti,"rose water, sweet milk custard, orange"
10,4,Phil,OUT,Trucking Lovely Rose Cake,"rosewater syrup, buttercream, yogurt, ",A Corner of My Garden Mishti,"chocolate, elderflower, pistachio, blueberry"
10,4,Steph,STAR BAKER,Answer to Everything Cake,"chocolate, raspberry, buttermilk, raspberry coulis, pistachios",Pink and Pretty Mishti,"pistachio, rosewater, mango, date, walnut"
10,4,Amelia,NA,NA,NA,NA,NA
10,4,Dan,NA,NA,NA,NA,NA
10,4,Jamie,NA,NA,NA,NA,NA
10,5,Alice,IN,Chocolate & Orange Custard Pies,"chocolate, orange curd, orange extract",Pina Colada Cake,"caramelised rum pineapple, coconut buttercream"
10,5,David,IN,Fancy Custards,"vanilla custard, glazed fruit",Amaretto Sour Cake,"amaretto, lemon, aromatic bitters buttercream"
10,5,Henry,IN,1920s Pies,"raspberry curd, white chocolate mousse, lemon and lime custard, raspberry, candied lemon slices, italian meringue",White Russian Cake,"italian meringue coffee buttercream, coffee liqueur, chocolate, hazelnut praline"
10,5,Michael,IN,"Mango, Lime & Ginger Pies","mango and lime custard, mango gelee discs, ginger, meringue kisses, white chocolate, dark chocolate ganache, ginger honeycomb, sugared lime peel",Brambling Cake,"gin and lemon and blackberry syrup, blackberries, crème de mure buttercream"
10,5,Priya,IN,Lemon & Raspberry Ripple Pies,"lemon custard, raspberry custard, lemon, sliced fruit",Meena Colada Cake,"passion fruit syrup, coconut buttercream, pineapple curd, royal icing"
10,5,Rosie,IN,Little Blackberry Pies,"elderflower jelly, matcha, blackberry, custard",White Russian Cake,"coffee liqueur, vodka swiss meringue buttercream, chocolate caramel, cream, dark chocolate ganache, royal icing"
10,5,Helena,OUT,Lemon and Lavender Pies,"modeling chocolate, lemon zest, lemon custard, lavender, meringue",Vampire's Kiss Raspberry Vodka Cake,"red velvet, cream cheese icing, vanilla buttercream, raspberry vodka, isomalt, white chocolate"
10,5,Michelle,OUT,Blueberry & White Chocolate Cr√®me Br√ªl√©e Pies,"blueberry compote, white chocolate custard, fig, strawberry, raspberry, blackberry",My Little Sister the Dancing Queen's Pi√±a Colada Cake,"coconut extract, rum buttercream, toasted coconut flakes, pineapple"
10,5,Steph,STAR BAKER,Zesty Citrus Custard Pies,"lemon and lime and orange custard, italian meringue, blueberry",Sour Lime Pi√±a Colada Cake,"white rum swiss meringue buttercream, lime, coconut, candy shards"
10,5,Amelia,NA,NA,NA,NA,NA
10,5,Dan,NA,NA,NA,NA,NA
10,5,Jamie,NA,NA,NA,NA,NA
10,5,Phil,NA,NA,NA,NA,NA
10,6,Alice,IN,Black Forest Meringue,"chocolate, chocolate mousse, cherry compote, cherry buttercream",Tiramisu Bombe,"espresso, espresso chocolate mousse, pistachio parfait, praline, spiced rum mascarpone cream"
10,6,David,IN,Spiced Meringue Surprise,"clove, cinnamon, star anise, figs, blackberries, vanilla crème diplomat",Delightful Bombe,"white chocolate and raspberry mousse, lemon and shiso leaf sorbet, raspberry and rose water jelly"
10,6,Henry,IN,Towering Meringue Cake,"pistachio, chocolate crème patissiere, raspberries, chocolate",Bonfire Bombe,"cinnamon meringue, bramley apple mousse, spiced honey mousse, cinnamon chanilly cream"
10,6,Michael,IN,Dark Chocolate Meringue Cake,"chocolate, orange crème au beurre, hazelnut, dark chocolate and orange ganache, orange liqueur",Black Forest Bombe,"cherry jelly, chocolate and almond mousse, chocolate and cherry italian meringue, cherry cheesecake, freeze-dried cherries"
10,6,Rosie,IN,Layers of Lime and Raspberry,"salted caramel, raspberry and lime curd, chocolate ganache, raspberry cream",Ruby Bombe,"mango bavarois, honey cake, lemon, hibiscus mousse, caramelised salted white chocolate"
10,6,Priya,OUT,Family Favourite,"amaretto crème patissiere, almond, blueberry crème au beurre",Summer Fruit Bombe,"crème de cassis blackcurrant liqueur, dark chocolate mousse, summer fruit bavarois, dark chocolate ganache, raspberry meringue shards"
10,6,Steph,STAR BAKER,Eton Mess,"pistachio, raspberries, white chocolate cream cheese",Mirror Bombe,"coffee bavarois, dark chocolate mousse, amaretto, joconde sponge, chocolate"
10,6,Amelia,NA,NA,NA,NA,NA
10,6,Dan,NA,NA,NA,NA,NA
10,6,Helena,NA,NA,NA,NA,NA
10,6,Jamie,NA,NA,NA,NA,NA
10,6,Michelle,NA,NA,NA,NA,NA
10,6,Phil,NA,NA,NA,NA,NA
10,7,Alice,IN,"Lemon, Blueberry & Almond Hot Cross Buns","lemon zest, blueberry, almond, freeze-dried blueberries, lemon curd glaze","Chocolate, Orange and Salted Caramel Kaleidoscope Sarawak Style Layered Cake",
10,7,David,IN,Kozunak Plaits,"raisins, lemon, almond, malt powder",Sarawak Style Layer Cake Sculpture,"cloves, cinnamon, cardamom, nutmeg"
10,7,Rosie,IN,Mardi Gras Finnish Semlor Peacock Festival Buns,"lemon and white chocolate namelaka, raspberry jam, candy",Rainbow Sarawak Style Layer Cake,"lemon, mixed spice, nectarine jam, royal icing"
10,7,Steph,IN,Zest and Spice Hot Cross Buns,"cranberries, sultanas, spiced glaze, orange zest, lemon zest, cinnamon, cloves, star anise",Orange and Chai Spiced Revitalise Cake,"orange liqueur syrup, royal icing, marzipan, orange, chai, spice"
10,7,Michael,OUT,Figgy Pudding Hot Cross Buns,"brandy glaze, marzipan, lemon zest, orange zest, fig, sultanas, cranberries, dates, apricots, brandy butter",Jamaican Mule Sarawak Style Layer Cake,"spiced rum and lime marzipan, royal icing, ginger and lime curd"
10,7,Henry,STAR BAKER,Chocolate Kardemummabullar,"chocolate, cardamom glaze, almond and chocolate crème patissiere",Elegant Present Box,"lemon, lime, raspberry and mint jam"
10,7,Amelia,NA,NA,NA,NA,NA
10,7,Dan,NA,NA,NA,NA,NA
10,7,Helena,NA,NA,NA,NA,NA
10,7,Jamie,NA,NA,NA,NA,NA
10,7,Michelle,NA,NA,NA,NA,NA
10,7,Phil,NA,NA,NA,NA,NA
10,7,Priya,NA,NA,NA,NA,NA
10,8,Alice,IN,"Leek, Apple & Goat's Cheese Tarte Tatin","leek, goat cheese, honey, thyme, granny smith apple",Apple Tree House Pie,"granny smith apple, blackberry, toasted pecans, caramel"
10,8,David,IN,Caramelly Carroty Tarte Tatin,"heritage carrot, walnut, shallots, carrot top pesto, whipped sirene",Whitby Fish Pie,"crab, salmon, root vegetables, whitby, "
10,8,Rosie,IN,"Shallot, Aubergine & Goat's Cheese Spiced Tarte Tatin","eggplant, shallot, black garlic, red pepper, goat cheese, spice",Rapunzel's Tower,"chillies, curried vegetables, roasted vegetables, camembert"
10,8,Henry,OUT,"Crab, Tomato & New Potato Tarte Tatin","crab, new potato, tomato, radish",Chandelier Picnic Pie,"ham, chicken, cranberries, apricot, blackberries, mint leaves, chorizo, cinnamon, chocolate, pecan"
10,8,Steph,STAR BAKER,Caramelised Onion & Goat's Cheese Tarte Tatin,"onion, shallots, goat cheese, balsamic venegar caramel, basil",Curried Chickpea & Potato Carousel,"chillies, chickpea and potato curry"
10,8,Amelia,NA,NA,NA,NA,NA
10,8,Dan,NA,NA,NA,NA,NA
10,8,Helena,NA,NA,NA,NA,NA
10,8,Jamie,NA,NA,NA,NA,NA
10,8,Michael,NA,NA,NA,NA,NA
10,8,Michelle,NA,NA,NA,NA,NA
10,8,Phil,NA,NA,NA,NA,NA
10,8,Priya,NA,NA,NA,NA,NA
10,9,David,IN,Aperitif Domed Tarts,"liqueur spritz, speritif jelly, leche flan, orange pastry disk, roasted rhubarb, hazelnuts",Greenhouse Growing Moss,"parsnip, beetroot, prunes, apricots, chocolate, almonds, hazelnuts, buttercream"
10,9,Steph,IN,"Raspberry, Lemon & White Chocolate Domed Tarts","white chocolate, raspberry jelly, lemon mousse, pate sablee, dark chocolate",A Night at the Opera,"chocolate, joconde sponge, chocolate orange macarons, chocolate ganache, orange crème au beurre"
10,9,Rosie,OUT,"Lemon, Raspberry & Mint Domed Tarts","pate sablee, lemon bavarian cream, raspberry gin, mint crème pat, yuzu jelly, lemon",Time with Family,"choux bun religieuse, mocha crème pat, brioche tarte tropezienne, chocolate tartlet, salted caramel crème, crème patissiere, chocolate ganache, orange sablee"
10,9,Alice,STAR BAKER,"Mocha, Hazelnut & Orange Domed Tarts","mocha mousse, espresso buttercream, orange curd, hazelnut praline paste, chocolate",Save Our Oceans,"lemon and honey custard, raspberry curd, chocolate, white chocolate bavarois, isomalt"
10,9,Amelia,NA,NA,NA,NA,NA
10,9,Dan,NA,NA,NA,NA,NA
10,9,Helena,NA,NA,NA,NA,NA
10,9,Henry,NA,NA,NA,NA,NA
10,9,Jamie,NA,NA,NA,NA,NA
10,9,Michael,NA,NA,NA,NA,NA
10,9,Michelle,NA,NA,NA,NA,NA
10,9,Phil,NA,NA,NA,NA,NA
10,9,Priya,NA,NA,NA,NA,NA
10,10,Alice,Runner-up,"Chocolate, Pear, Ginger and Maple Cake","pears, chocolate, ginger, dark chocolate ganache, maple cream cheese buttercream, hazelnut brittle, red win,e cinnamon",End of the School Year Celebration Picnic,"raspberry, prosecco, orange, cardamom, carrot, blueberry, lemon curd, lemon cream cheese"
10,10,Steph,Runner-up,Black Forest Chocolate Cake,"chocolate ganache, kirsch chantilly cream, cherry jam, cherries",Picnic in the Park,"spiced orange, almond, lemon, poppy seed, coconut"
