series,episode,baker,result,signature,signature_ingredients,showstopper,showstopper_ingredients
8,3,Julia,STAR BAKER,Earl Grey Dried Fruit Teacakes,"sultanas, currants, raisins, candied mixed peels, earl grey, cherry, orange marmalade, cinnamon, nutmeg",'The Snail Under a Mushroom' Bread Sculpture,"goats cheese, onion, spinach, parsley, cheddar, bacon, red pepper, paprika, potato, beetroot "
8,3,Chris,NA,NA,NA,NA,NA
8,3,Peter,NA,NA,NA,NA,NA
8,4,James,IN,'Windy City' Millionaire Shortbreads,"maple syrup, pecan, chocolate",Nutty Caramel Cake,"muscovado sugar, amaretto liqueur, peanut praline, honey comb, hazelnuts, sesame brittle"
8,4,Julia,IN,Pecan Salted Caramel Millionaire Shortbreads,"pecan, sea salt, golden syrup",Poppy Seed Caramel Cake,"caramelised walnut, poppy seeds, prunes, shards, caramel buttercream"
8,4,Liam,IN,Salted Peanut Butter Millionaire Shortbreads,"walnut, peanut butter, peanut butter oil, honey, peanut, dark chocolate",White Layered Ginger Caramel Cake,"black treacle, white chocolate buttercream, cinnamon, macadamia praline, ginger syrup, spiced caramel"
8,4,Sophie,IN,Jaffa Millionaire Shortbreads,"dark chocolate, orange zest, orange juice",Bird's Nest Caramel Cake,"hazelnuts, salted caramel ganache, chocolate, italian meringue butter cream, "
8,4,Stacey,IN,Rum Salted Caramel Millionaire Shortbreads,"rum, lime zest, chilli flakes, chocolate",Chocolate and Coffee Caramel Cake,"chocolate ganache, coffee essence, caramel buttercream"
8,4,Steven,IN,Orange Macadamia Nut Millionaire Shortbreads,"orange zest, macadamia nuts, coffee liqueur, chocolate",Caramel Crown Cake,"freeze-dried raspberries, red velvet, cocoa powder, caramel buttercream"
8,4,Yan,IN,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,"orange extract, crystalized ginger, hazelnuts, chocolate",Animals of the Rainforest Caramel Cake,"orange curd, cocoa powder, praline, orange zest, orange juice"
8,4,Tom,OUT,Stem Ginger Caramel Shortbreads,"chocolate, almond, stem ginger caramel, white chocolate",Hummingbird Cake,"banana, pineapple, lime cream cheese icing, passionfruit cream, pecan praline"
8,4,Kate,STAR BAKER,Salted Bay Caramel Millionaire Shortbreads,"walnut, bay leaves",Sticky Toffee Apple Caramel Cake,"dried apple, toffee buttercream, medjool dates "
8,4,Chris,NA,NA,NA,NA,NA
8,4,Flo,NA,NA,NA,NA,NA
8,4,Peter,NA,NA,NA,NA,NA
8,5,Julia,IN,Orange & Treacle Steamed School Pudding,"orange caramel sauce, vanilla custard, black treacle, orange",'Opulent Ornament' Trifle Terrine,"vanilla, liquere, prosecco and passion fruit jelly, chocolate mousse, raspberries, strawberries, blueberries"
8,5,Kate,IN,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,"lemon zest, bergamot oil, earl grey custard",'My Great Great Nan's' Raspberry Trifle Terrine,"raspberry meringue cream, raspberry jelly, raspberry, powdered custard"
8,5,Liam,IN,Cherries & Lemons that are 'Baked Well',"glace cherry, dried cherry, lemon zest, ground almonds, vanilla custard, lemon",'Cheers Lads' Trifle Terrine,"chocolate mousse, orange jelly, chai latte panna cotta, brownie"
8,5,Stacey,IN,Bakewell Tart Steamed School Pudding,"cherry jam, raspberry, ground almonds, vanilla custard",Tropical Trifle Terrine,"pineapple rum jelly, passion fruit, lime eton mess, mango mousse, chilli, coconut"
8,5,Steven,IN,Lemon & Blackcurrant Drizzle Steamed School Pudding,"lemon zest, blackcurrant, vanilla custard",'From Across the Jelly Pond' Trifle Terrine,"raspberry jelly, coconut sponge, white chocolate and coconut custard"
8,5,Yan,IN,Mango Fruit Hat Steamed School Pudding,"coconut custard, stem ginger, caramalised coconut flakes, mango, alphonso mango",'Heart of a Hero' Trifle Terrine,"strawberry, raspberry, strawberry mousse, white chocolate mousse, elderflower jelly"
8,5,James,OUT,Orange and Ginger Steamed School Pudding,"orange, stem ginger, spiced chocolate custard",'The Missed Silver Jubilee' Trifle Terrine,"raspberry, blueberry swiss roll, raspberry panna cotta, blueberry, eton mess mousse, prosecco jelly"
8,5,Sophie,STAR BAKER,"Ginger, Fig and Honey Steamed School Pudding","tonka bean marscapone cream, stem ginger, fig, honey","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine","raspberry jelly, yuzu custard, white chocolate bavarois, raspberry"
8,5,Chris,NA,NA,NA,NA,NA
8,5,Flo,NA,NA,NA,NA,NA
8,5,Peter,NA,NA,NA,NA,NA
8,5,Tom,NA,NA,NA,NA,NA
8,6,Kate,IN,'Vegetarian Pie Faces' Decorative Pies,"carrots, leeks, celery, potatoes, onions, butterbeans",Potato Curry Pie with Mango & Chilli Glaze,"turmeric, potato, onion, mango, chilli, asparagus"
8,6,Sophie,IN,'The Four Seasons' Decorative Pies,"roasted squash, spinach, blue cheese",Game Pie with Glazed Forest Fruits,"pomegranate and port glaze, minced pork belly, venison, mushroom duxelles, rabbit, wild boar, guinea fowl"
8,6,Stacey,IN,'Love Theme' Decorative Pies,"onion, mince meat, pine nuts, cinnamon, chilli flakes",Indian Hand Raised Pie with Mango,"paneer cheese, lentil curry, eggs, spinach, mango"
8,6,Steven,IN,'Fleetwood Mac' Decorative Pies,"swedish meatballs, lingonberry jam, mashed potato",Christmas Pie,"cranberry relish, brussel sprouts, chestnuts, turkey, pancetta"
8,6,Yan,IN,'πr2' Decorative Pies,"chicken, curry sauce",Chequerboard Pie,"chorizo, chicken, black pudding, spiced sausage meat, fig"
8,6,Julia,OUT,'Pies from the Tree' Decorative Pies,"sausage meat, sage, onion, apples, smoked paprika",'Special Occasion' Pie,"bluecheese, asparagus and pear salsa, chicken, honey-glazed pears"
8,6,Liam,STAR BAKER,'Standard FC' Decorative Pies,"sweet potato, feta cheese, chorizo",'Nan's Sunday Dinner' Pie,"turmeric, fried plantain, curried goat, mango and avocado salsa"
8,6,Chris,NA,NA,NA,NA,NA
8,6,Flo,NA,NA,NA,NA,NA
8,6,James,NA,NA,NA,NA,NA
8,6,Peter,NA,NA,NA,NA,NA
8,6,Tom,NA,NA,NA,NA,NA
8,7,Kate,IN,'Happy Hour' Cocktail Cannoli,"limoncello, cream, lemon, campari gin, orange, coffee liqueur, chocolate, ricotta",'Flavour Fusion' Sfogliatelle,"dark chocolate, hazelnuts, lemon, tahini"
8,7,Liam,IN,'Just Doing Me' Cannoli,"lemon, white chocolate, honey, nuts,marshmallow, dark chocolate, ricotta",'Morning Delivery' Sfogliatelle,"maple, pecan, orange, raisins"
8,7,Sophie,IN,'Classics with a Twist' Cannoli,"amaretto, almonds, ginger, lemon, lime cream, chocolate, hazelnuts, mascarpone cream, gelatine",'Classics' Sfogliatelle,"mango, passion fruit, cherry, almond, chocolate"
8,7,Stacey,IN,My All Time Favourite Desserts,"custard, raspberry jam, lemon cheesecake, white chocolate, tiramisu, cocoa powder, ricotta",Pastry Surprise,"orange, sultana, chocolate, praline creame patissiere, nuts"
8,7,Yan,OUT,Cannoli Cocktails,"rose, mint, amaretto, lime, honey, passion fruit, vanilla, cocoa powder, ricotta",Canadian-Style Sfogliatelle,"lemon, blueberry, pecan praline, maple syrup, bacon dust"
